id,datetime,ec,water_flow,ground_temperature,ground_humidity,air_temperature,air_humidity,acquisition_point
10623,2021-02-13 10:05:14.427985,7673.50928641251,4.67390029325513,83.1231671554252,90.713587487781,68.8563049853372,90.713587487781,A01
10624,2021-02-13 10:05:16.429906,7673.50928641251,4.67390029325513,83.1231671554252,90.713587487781,68.8563049853372,90.811339198436,A01
10625,2021-02-13 10:05:18.433623,7673.50928641251,4.67390029325513,83.1231671554252,90.811339198436,68.8563049853372,90.713587487781,A01
10626,2021-02-13 10:05:20.435944,7673.50928641251,4.67390029325513,83.1231671554252,90.713587487781,68.8563049853372,90.713587487781,A01
10627,2021-02-13 10:05:22.435035,7673.50928641251,4.67390029325513,83.2991202346041,90.713587487781,68.8563049853372,90.713587487781,A01
10628,2021-02-13 10:05:24.437282,7673.50928641251,4.67390029325513,83.1231671554252,90.713587487781,68.8563049853372,90.713587487781,A01
10629,2021-02-13 10:05:26.440304,7663.73411534702,4.67390029325513,83.1231671554252,69.5014662756598,43.4017595307918,69.5014662756598,A01
10630,2021-02-13 10:05:28.442973,7673.50928641251,4.67390029325513,83.1231671554252,68.0351906158358,41.7595307917889,68.1329423264907,A01
10631,2021-02-13 10:05:30.446562,5816.22678396872,3.61524926686217,49.6920821114369,68.1329423264907,41.7595307917889,68.1329423264907,A01
10632,2021-02-13 10:05:32.448925,3968.71945259042,2.55659824046921,16.4369501466276,68.1329423264907,41.7595307917889,68.1329423264907,A01
10633,2021-02-13 10:05:34.452017,3968.71945259042,2.55659824046921,16.4369501466276,68.0351906158358,41.7595307917889,68.1329423264907,A01
10634,2021-02-13 10:05:36.451086,3968.71945259042,2.55659824046921,16.4369501466276,68.1329423264907,41.7595307917889,68.1329423264907,A01
10635,2021-02-13 10:05:38.453259,3968.71945259042,2.56217008797654,16.4369501466276,68.1329423264907,41.7595307917889,68.1329423264907,A01
10636,2021-02-13 10:05:40.456245,3958.94428152493,2.56217008797654,16.6129032258064,85.6304985337243,62.8739002932551,85.7282502443793,A01
10637,2021-02-13 10:05:42.459185,6011.73020527859,3.72111436950147,53.2111436950147,85.6304985337243,62.7565982404692,85.6304985337243,A01
10638,2021-02-13 10:05:44.457824,6001.9550342131,3.72111436950147,53.0351906158358,85.5327468230694,62.6392961876833,85.5327468230694,A01
10639,2021-02-13 10:05:46.461135,6011.73020527859,3.7266862170088,53.0351906158358,70.4789833822092,44.4574780058651,70.3812316715542,A01
10640,2021-02-13 10:05:48.463988,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10641,2021-02-13 10:05:50.466018,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10642,2021-02-13 10:05:52.469596,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10643,2021-02-13 10:05:54.47202,4066.47116324536,2.62346041055718,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10644,2021-02-13 10:05:56.474945,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10645,2021-02-13 10:05:58.474075,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.3196480938416,A01
10646,2021-02-13 10:06:00.476799,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10647,2021-02-13 10:06:02.479665,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.3196480938416,A01
10648,2021-02-13 10:06:04.482333,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10649,2021-02-13 10:06:06.48127,4066.47116324536,2.61788856304985,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10650,2021-02-13 10:06:08.484345,4066.47116324536,2.61231671554252,18.1964809384164,51.2218963831867,21.466275659824,51.2218963831867,A01
10651,2021-02-13 10:06:10.486664,4076.24633431085,2.61788856304985,18.3724340175953,51.2218963831867,21.466275659824,51.2218963831867,A01
10652,2021-02-13 10:06:12.489624,4066.47116324536,2.61788856304985,18.1964809384164,51.1241446725318,21.466275659824,51.2218963831867,A01
10653,2021-02-13 10:06:14.492051,9.77517106549365,0.311143695014663,-54.6480938416422,0,-40,0,A01
10654,2021-02-13 10:06:16.49509,9.77517106549365,0.311143695014663,-54.8240469208211,0,-40,0,A01
10655,2021-02-13 10:06:18.494113,9.77517106549365,0.305571847507331,-54.6480938416422,0,-40,0,A01
10656,2021-02-13 10:06:20.497085,9.77517106549365,0.311143695014663,-54.6480938416422,0,-40,0,A01
10657,2021-02-13 10:06:22.499125,9.77517106549365,0.305571847507331,-54.6480938416422,0,-40,0,A01
10658,2021-02-13 10:06:24.502323,9.77517106549365,0.305571847507331,-54.6480938416422,0,-40,0,A01
10659,2021-02-13 10:06:26.50501,9.77517106549365,0.305571847507331,-54.8240469208211,0,-40,0,A01
10660,2021-02-13 10:06:28.504024,9.77517106549365,0.305571847507331,-54.6480938416422,0,-40,0,A01
10661,2021-02-13 10:06:30.506787,19.5503421309873,0.311143695014663,-54.6480938416422,0,-40,0,A01
10662,2021-02-13 10:06:32.510104,9.77517106549365,0.305571847507331,-54.8240469208211,0,-40,0,A01
10663,2021-02-13 10:06:34.512091,9.77517106549365,0.311143695014663,-54.6480938416422,0,-40,0,A01
10664,2021-02-13 10:06:36.515324,0,0.311143695014663,-54.8240469208211,0,-40,0,A01
